journal,title,year,doi,novel_taxon,geography,age1,age2
Science,Evolutionary development in basal mammaliaforms as revealed by a docodontan,2015,10.1126/science.1260880,Docofossor brachydactylus,China,Mesozoic,Jurassic
Science,Australopithecus sediba: A New Species of Homo-Like Australopith from South Africa,2010,10.1126/science.1184944,Australopithecus sediba,South Africa,Cenozoic,Pleistocene
Science,An arboreal docodont from the Jurassic and mammaliaform ecological diversification,2015,10.1126/science.1260879,Agilodocodon scansorius,China,Mesozoic,Jurassic
Science,A Basal Dinosaur from the Dawn of the Dinosaur Era in Southwestern Pangaea,2011,10.1126/science.1198467,Eodromaeus murphi,Argentina,Mesozoic,Triassic
Science,Integrated hearing and chewing modules decoupled in a Cretaceous stem therian mammal,2019,10.1126/science.aay9220,Origolestes lii ,China,Mesozoic,Cretaceous
Science,An Early-Branching Microbialite Cyanobacterium Forms Intracellular Carbonates,2012,10.1126/science.1216171,,,,
JVP,First Neogene bat from India: implications for a possible radiation of Vespertilioninae during the Middle Miocene Climatic Optimum,2026,10.1080/02724634.2025.2611988,Nycticeinops kutchensis,India,Cenozoic,Miocene
JVP,"First Asian Record of Pantolestes (Mammalia, Pantolesta, Pantolestidae) From the Upper Eocene of Xinjiang, China",2026,10.1080/02724634.2026.2615027,Pantolestes densus,China,Cenozoic,Eocene
JVP,"Late Miocene/Pliocene divergence of zokors (Myospalacidae, Rodentia) of North Asia: phylogeny and paleobiogeography",2026,10.1080/02724634.2025.2607416,Sibirosiphneus ingenuus,Russia,Cenozoic,Pliocene
JVP,"Late Miocene/Pliocene divergence of zokors (Myospalacidae, Rodentia) of North Asia: phylogeny and paleobiogeography",2026,10.1080/02724634.2025.2607416,Sibirosiphneus seletiensis,Russia,Cenozoic,Pliocene
JVP,High paleolatitude onychodont and rhizodont remains from the upper Famennian (Upper Devonian) Waterloo Farm lagerstätte of South Africa,2026,10.1080/02724634.2025.2576738,Amazinyomakhulu mallinsonia,South Africa,Paleozoic,Devonian
